Linux 6.6.23 (eternity8) 	2025년 05월 29일 	_x86_64_	(40 CPU)

14시 40분 53초     CPU     %user     %nice   %system   %iowait    %steal     %idle
14시 40분 56초       4      0.00      0.00      0.00      0.00      0.00    100.00
14시 40분 56초       5      0.00      0.00      0.00      0.00      0.00    100.00
14시 40분 56초       6      0.00      0.00      0.00      0.00      0.00    100.00
14시 40분 56초       7      0.00      0.00      0.00      0.00      0.00    100.00
14시 40분 56초       8      0.00      0.00      0.00      0.00      0.00    100.00
14시 40분 56초       9      0.00      0.00      0.00      0.00      0.00    100.00
14시 40분 56초      10      0.00      0.00      0.00      0.00      0.00    100.00
14시 40분 56초      11      0.00      0.00      0.00      0.00      0.00    100.00
14시 40분 56초      12      0.00      0.00      0.00      0.00      0.00    100.00
14시 40분 56초      13      0.00      0.00      0.00      0.00      0.00    100.00
14시 40분 56초      14      0.00      0.00      0.00      0.00      0.00    100.00
14시 40분 56초      15      0.00      0.00      1.00      0.00      0.00     99.00
14시 40분 56초      16      0.00      0.00      0.00      0.00      0.00    100.00
14시 40분 56초      17      0.00      0.00      0.00      0.00      0.00    100.00
14시 40분 56초      18      0.00      0.00      0.00      0.00      0.00    100.00
14시 40분 56초      19      0.00      0.00      0.00      0.00      0.00    100.00
14시 40분 56초      20      0.00      0.00      0.00      0.00      0.00    100.00
14시 40분 56초      21      0.00      0.00      0.00      0.00      0.00    100.00
14시 40분 56초      22      0.00      0.00      0.00      0.00      0.00    100.00
14시 40분 56초      23      0.00      0.00      0.00      0.00      0.00    100.00
14시 40분 56초      24      0.00      0.00      0.00      0.00      0.00    100.00
14시 40분 56초      25      0.00      0.00      0.00      0.00      0.00    100.00
14시 40분 56초      26      0.00      0.00      0.00      0.00      0.00    100.00
14시 40분 56초      27      0.00      0.00      0.00      0.00      0.00    100.00
14시 40분 56초      28      0.00      0.00      0.00      0.00      0.00    100.00
14시 40분 56초      29      0.00      0.00      0.99      0.00      0.00     99.01
14시 40분 56초      30      0.00      0.00      0.00      0.00      0.00    100.00
14시 40분 56초      31      0.00      0.00      0.00      0.00      0.00    100.00
14시 40분 56초      32      0.00      0.00      0.00      0.00      0.00    100.00
14시 40분 56초      33      0.00      0.00      0.00      0.00      0.00    100.00
14시 40분 56초      34      0.00      0.00      0.99      0.00      0.00     99.01
14시 40분 56초      35      0.00      0.00      0.00      0.00      0.00    100.00
14시 40분 56초      36      0.00      0.00      0.00      0.00      0.00    100.00
14시 40분 56초      37      0.00      0.00      0.00      0.00      0.00    100.00
14시 40분 56초      38      0.00      0.00      0.00      0.00      0.00    100.00
14시 40분 56초      39      0.00      0.00      0.00      0.00      0.00    100.00

14시 40분 56초     CPU     %user     %nice   %system   %iowait    %steal     %idle
14시 40분 57초     all      0.00      0.00      0.05      0.00      0.00     99.95
14시 40분 57초       0      0.00      0.00      0.00      0.00      0.00    100.00
14시 40분 57초       1      0.00      0.00      0.00      0.00      0.00    100.00
14시 40분 57초       2      0.00      0.00      0.00      0.00      0.00    100.00
14시 40분 57초       3      0.00      0.00      0.00      0.00      0.00    100.00
14시 40분 57초       4      0.00      0.00      0.00      0.00      0.00    100.00
14시 40분 57초       5      0.00      0.00      0.00      0.00      0.00    100.00
14시 40분 57초       6      0.00      0.00      0.00      0.00      0.00    100.00
14시 40분 57초       7      0.00      0.00      0.00      0.00      0.00    100.00
14시 40분 57초       8      0.00      0.00      0.00      0.00      0.00    100.00
14시 40분 57초       9      0.00      0.00      0.00      0.00      0.00    100.00
14시 40분 57초      10      0.00      0.00      0.00      0.00      0.00    100.00
